row_id,tomo_id,Motor axis 0,Motor axis 1,Motor axis 2,Array shape (axis 0),Array shape (axis 1),Array shape (axis 2),Voxel spacing,Number of motors
0,tomo_003acc,-1.0,-1.0,-1.0,500,1912,1847,6.5,0
1,tomo_00e047,169.0,546.0,603.0,300,959,928,15.6,1
2,tomo_00e463,235.0,403.0,137.0,500,924,956,19.7,6
3,tomo_00e463,243.0,363.0,153.0,500,924,956,19.7,6
4,tomo_00e463,222.0,379.0,144.0,500,924,956,19.7,6
5,tomo_00e463,225.0,262.0,628.0,500,924,956,19.7,6
6,tomo_00e463,225.0,241.0,643.0,500,924,956,19.7,6
7,tomo_00e463,231.0,289.0,632.0,500,924,956,19.7,6
8,tomo_01a877,147.0,638.0,286.0,300,960,928,13.1,1
9,tomo_02862f,101.0,351.0,120.0,300,959,928,15.6,1
10,tomo_0308c5,-1.0,-1.0,-1.0,300,960,928,15.6,0
11,tomo_0333fa,-1.0,-1.0,-1.0,300,960,928,16.8,0
12,tomo_033ebe,88.0,711.0,308.0,300,960,928,13.1,1
13,tomo_03437b,138.0,864.0,620.0,300,959,928,15.6,1
14,tomo_0363f2,50.0,574.0,392.0,300,960,928,13.1,1
15,tomo_040b80,-1.0,-1.0,-1.0,600,928,960,16.1,0
16,tomo_049310,-1.0,-1.0,-1.0,500,924,956,19.7,0
17,tomo_04d42b,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
18,tomo_05b39c,-1.0,-1.0,-1.0,800,928,960,13.1,0
19,tomo_05df8a,130.0,257.0,762.0,300,928,928,15.6,1
20,tomo_05f919,121.0,471.0,845.0,300,959,928,15.6,1
21,tomo_066095,-1.0,-1.0,-1.0,300,960,928,15.6,0
22,tomo_06e11e,-1.0,-1.0,-1.0,300,960,928,15.6,0
23,tomo_072a16,-1.0,-1.0,-1.0,300,960,928,16.8,0
24,tomo_081a2d,152.0,314.0,651.0,300,959,928,15.6,1
25,tomo_08446f,235.0,740.0,54.0,500,924,956,19.7,2
26,tomo_08446f,246.0,778.0,45.0,500,924,956,19.7,2
27,tomo_087d64,-1.0,-1.0,-1.0,800,927,959,13.1,0
28,tomo_08a6d6,-1.0,-1.0,-1.0,800,928,960,13.1,0
29,tomo_08bf73,-1.0,-1.0,-1.0,800,928,960,16.1,0
30,tomo_098751,-1.0,-1.0,-1.0,500,924,956,16.1,0
31,tomo_0a180f,-1.0,-1.0,-1.0,800,928,960,13.1,0
32,tomo_0a8f05,52.0,587.0,575.0,300,928,928,13.1,1
33,tomo_0c2749,-1.0,-1.0,-1.0,300,960,928,15.6,0
34,tomo_0c3a99,125.0,645.0,227.0,300,959,928,15.6,1
35,tomo_0c3d78,-1.0,-1.0,-1.0,800,928,960,13.1,0
36,tomo_0d4c9e,-1.0,-1.0,-1.0,300,960,928,15.6,0
37,tomo_0da370,28.0,356.0,636.0,300,928,928,13.1,1
38,tomo_0de3ee,131.0,139.0,326.0,500,928,960,13.1,2
39,tomo_0de3ee,203.0,642.0,801.0,500,928,960,13.1,2
40,tomo_0e9757,-1.0,-1.0,-1.0,300,960,928,16.8,0
41,tomo_0eb41e,-1.0,-1.0,-1.0,300,960,928,16.8,0
42,tomo_0eb994,161.0,835.0,630.0,300,959,928,15.6,1
43,tomo_0f9df0,94.0,174.0,599.0,300,960,928,15.6,1
44,tomo_0fab19,159.0,516.0,681.0,300,959,928,15.6,1
45,tomo_0fe63f,197.0,362.0,265.0,300,960,928,13.1,1
46,tomo_101279,161.0,295.0,585.0,300,928,928,13.1,1
47,tomo_10a3bd,-1.0,-1.0,-1.0,500,1024,1440,13.3,0
48,tomo_10c564,16.0,455.0,267.0,300,960,928,13.1,1
49,tomo_122a02,127.0,808.0,140.0,300,959,928,15.6,1
50,tomo_122c46,-1.0,-1.0,-1.0,300,960,928,16.8,0
51,tomo_12f896,95.0,404.0,212.0,300,960,928,13.1,1
52,tomo_13484c,153.0,768.0,658.0,300,928,928,15.6,1
53,tomo_134bb0,55.0,252.0,173.0,300,959,928,15.6,1
54,tomo_136c8d,-1.0,-1.0,-1.0,500,924,956,19.7,0
55,tomo_138018,144.0,233.0,455.0,300,959,928,15.6,1
56,tomo_13973d,234.0,221.0,808.0,500,924,956,19.7,1
57,tomo_139d9e,153.0,611.0,172.0,300,959,928,15.6,1
58,tomo_1446aa,149.0,293.0,601.0,300,960,928,13.1,1
59,tomo_146de2,-1.0,-1.0,-1.0,500,924,956,16.1,0
60,tomo_16136a,141.0,566.0,443.0,300,960,928,16.8,1
61,tomo_161683,186.0,145.0,370.0,300,928,928,15.6,1
62,tomo_16efa8,183.0,379.0,752.0,300,960,928,13.1,1
63,tomo_16fce8,-1.0,-1.0,-1.0,300,960,928,15.6,0
64,tomo_17143f,-1.0,-1.0,-1.0,300,960,928,15.6,0
65,tomo_172f08,-1.0,-1.0,-1.0,800,928,960,13.1,0
66,tomo_180bfd,-1.0,-1.0,-1.0,300,960,928,16.8,0
67,tomo_183270,-1.0,-1.0,-1.0,800,928,960,13.1,0
68,tomo_191bcb,149.0,417.0,500.0,300,960,928,13.1,1
69,tomo_19a313,67.0,598.0,300.0,300,960,928,13.1,1
70,tomo_19a4fd,175.0,583.0,468.0,300,960,928,16.8,1
71,tomo_1ab322,68.0,580.0,583.0,300,960,928,15.6,1
72,tomo_1af88d,24.0,306.0,619.0,300,960,928,13.1,1
73,tomo_1b82d1,223.0,716.0,677.0,500,924,956,19.7,4
74,tomo_1b82d1,210.0,738.0,667.0,500,924,956,19.7,4
75,tomo_1b82d1,222.0,878.0,470.0,500,924,956,19.7,4
76,tomo_1b82d1,208.0,697.0,680.0,500,924,956,19.7,4
77,tomo_1c2534,-1.0,-1.0,-1.0,800,927,959,13.1,0
78,tomo_1c38fd,103.0,668.0,281.0,300,960,928,15.6,1
79,tomo_1c75ac,-1.0,-1.0,-1.0,300,960,928,15.6,0
80,tomo_1cc887,143.0,667.0,192.0,300,928,928,15.6,1
81,tomo_1da097,34.0,579.0,419.0,500,928,960,13.1,2
82,tomo_1da097,37.0,652.0,483.0,500,928,960,13.1,2
83,tomo_1da0da,-1.0,-1.0,-1.0,800,928,960,13.1,0
84,tomo_1dc5f9,-1.0,-1.0,-1.0,500,924,956,19.7,0
85,tomo_1e9980,-1.0,-1.0,-1.0,300,960,928,16.8,0
86,tomo_1efc28,123.0,636.0,175.0,300,959,928,15.6,1
87,tomo_1f0e78,112.0,797.0,264.0,300,959,928,15.6,1
88,tomo_1fb6a7,-1.0,-1.0,-1.0,300,960,928,16.8,0
89,tomo_20a9ed,185.0,319.0,560.0,300,960,928,13.1,1
90,tomo_210371,263.0,584.0,595.0,300,960,928,15.6,1
91,tomo_221a47,166.0,324.0,563.0,300,960,928,13.1,1
92,tomo_221c8e,-1.0,-1.0,-1.0,500,928,928,16.8,0
93,tomo_225d8f,61.0,483.0,497.0,300,960,928,13.1,1
94,tomo_226cd8,365.0,528.0,607.0,500,928,960,13.1,10
95,tomo_226cd8,312.0,136.0,99.0,500,928,960,13.1,10
96,tomo_226cd8,299.0,227.0,70.0,500,928,960,13.1,10
97,tomo_226cd8,332.0,552.0,58.0,500,928,960,13.1,10
98,tomo_226cd8,355.0,656.0,165.0,500,928,960,13.1,10
99,tomo_226cd8,366.0,693.0,269.0,500,928,960,13.1,10
100,tomo_226cd8,386.0,693.0,319.0,500,928,960,13.1,10
101,tomo_226cd8,388.0,671.0,433.0,500,928,960,13.1,10
102,tomo_226cd8,411.0,318.0,740.0,500,928,960,13.1,10
103,tomo_226cd8,354.0,277.0,756.0,500,928,960,13.1,10
104,tomo_22976c,-1.0,-1.0,-1.0,500,928,960,13.1,0
105,tomo_229f0a,-1.0,-1.0,-1.0,500,960,928,16.8,0
106,tomo_23a8e8,132.0,686.0,356.0,300,960,928,15.6,1
107,tomo_23c8a4,-1.0,-1.0,-1.0,300,960,928,16.8,0
108,tomo_23ce49,152.0,248.0,532.0,300,959,928,15.6,1
109,tomo_247826,-1.0,-1.0,-1.0,500,960,928,16.8,0
110,tomo_24795a,144.0,702.0,703.0,300,960,928,15.6,1
111,tomo_2483bb,145.0,620.0,483.0,300,960,928,15.6,1
112,tomo_24a095,-1.0,-1.0,-1.0,800,928,960,13.1,0
113,tomo_24fda8,-1.0,-1.0,-1.0,300,960,928,15.6,0
114,tomo_256717,172.0,770.0,514.0,300,928,928,15.6,1
